question_code;question;answer
[KE03:030b];"
Ordnen Sie den Buchstaben D bis F aus folgender Abbildung die korrekten Begriffe zu:


Wählen Sie eine oder mehrere Antworten:D  Fovea 
D  Retina 
D  Sehnerv 
D  Cornea
  
E  Fovea 
E  Retina 
E  Sehnerv 
E Cornea
  
F  Fovea 
F  Retina 
F  Sehnerv 
F  Cornea 
";  D  Retina, E  Sehnerv, F  Fovea
[KE03:046];"
Bewerten Sie folgende Aussage: Ist diese Aussage wahr oder falsch?
""Im Bereich des schärfsten Sehens auf der Netzhaut befinden sich nur Stäbchen.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist falsch.
[KE03:091];"
Wodurch kommt das Membranpotential zustande?
Wählen Sie eine Antwort:Das Membranpotential entsteht wie bei einem Zitteraal. Auch im Gehirn gibt es spezialisierte Zellen, sogenannte Elektrozyten, die für die Stromerzeugung zuständig sind. 
Die Membran einer Nervenzelle hat eine ähnliche Gitterstruktur wie leitende Metalle, die einen freien Elektronenfluß ermöglicht. Gegenüberliegende Membranseiten wirken hierbei wie Kondensatorplatten und sind für das Membranpotential verantwortlich. 
Das Membranpotential entsteht wie bei einer Batterie durch eine saure Umgebung, die dem Neuron positive Ionen entzieht. 
Das Membranpotential entsteht durch unterschiedliche Konzentrationen geladener Teilchen innerhalb und außerhalb der Nervenzelle. 
";  Das Membranpotential entsteht durch unterschiedliche Konzentrationen geladener Teilchen innerhalb und außerhalb der Nervenzelle.
[KE03:098];"
Was passiert, kurz nachdem das Schwellenpotential am Axonhügel einer Nervenzelle überschritten wird?
Wählen Sie eine Antwort:Der Axonhügel schwillt an und erzeugt damit eine Druckwelle im Axon (pneuronale Transduktion). 
Das Neuron wird repolarisiert. 
Es wird ein Aktionspotential ausgelöst. 
Es passiert nichts. 
";  Es wird ein Aktionspotential ausgelöst.
[KE03:084];"
Welche Aussagen treffen auf Rezeptorzellen zu?
Wählen Sie eine oder mehrere Antworten:Rezeptorzellen können besonders viele eingehende Verbindungen mit anderen Nervenzellen aufbauen. 
Es gibt nur 2 Arten von Rezeptorzellen: Stäbchen und Zapfen. 
Rezeptorzellen sind die zentralen Zellen bei der konvergenten Verschaltung von Nervenzellen. 
Rezeptorzellen sind eine Spezialform von Nervenzellen. 
Rezeptorzellen nehmen externe Reize auf. 
";  Rezeptorzellen sind eine Spezialform von Nervenzellen., Rezeptorzellen nehmen externe Reize auf.
[KE03:022];"
Wie werden sendende Neuronen genannt?
Wählen Sie eine Antwort:transsynaptische Neuronen 
präsynaptische Neuronen 
subsynaptische Neuronen 
postsynaptische Neuronen 
intersynaptische Neuronen 
persynaptische Neuronen 
";  präsynaptische Neuronen
[KE03:050];"
Was sind die sogenannten Stäbchen und Zapfen?
Wählen Sie eine Antwort:lichtempfindliche Rezeptoren 
besondere Arten von Synapsen 
Teile der Hornhaut 
";  lichtempfindliche Rezeptoren
[KE03:030a];"
Ordnen Sie den Buchstaben A bis C aus folgender Abbildung die korrekten Begriffe zu:


Wählen Sie eine oder mehrere Antworten:A  Fovea 
A  Linse 
A  Pupille 
A  Hornhaut (Cornea)
  
B  Fovea 
B  Linse 
B  Pupille 
B  Hornhaut (Cornea)
  
C  Fovea 
C  Linse 
C  Pupille 
C  Hornhaut (Cornea) 
";"  A  Pupille, B  Hornhaut (Cornea)
 , C  Linse"
[KE03:062];"
Wie verläuft die Sehbahn?
Wählen Sie eine Antwort:Von der Retina zum Gehirn 
Vom Objekt zur Linse 
Eine Sehbahn existiert nicht. 
Von der Linse zur Retina 
";  Von der Retina zum Gehirn
[KE03:126];"
Um was für eine Methode handelt es sich bei der Bestimmung der Wahrnehmungsschwellen im Kontext der Messung der spektralen Empfindlichkeit der Zapfen?
Wählen Sie eine Antwort:psychophysische Methode 
keine der genannten Methoden 
physiophysische Methode 
psychotische Methode 
psychophysikalische Methode 
";  psychophysische Methode
[KE03:101];"
Im folgenden Bild umfasse der gestrichelte Kreis ein rezeptives Feld. Der gelbe Punkt sei ein heller Lichtreiz im Zentrum des rezeptiven Feldes. Welche Art von Nervenzelle reagiert auf einen solchen Reiz mit verminderter Aktivität?

Wählen Sie eine Antwort:On-Zentrum-Off-Umfeld-Zelle 
Off-Zentrum-On-Umfeld-Zelle 
";  Off-Zentrum-On-Umfeld-Zelle
[KE03:027];"
Bewerten Sie folgende Aussage: Ist diese Aussage wahr oder falsch?
""Die Rezeptoren am synaptischen Spalt funktionieren nach dem sogenannten Hammer-Amboss-Prinzip.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist falsch.
[KE03:115];"
Warum können wir Objekte, die zu nah an unseren Augen sind, nicht mehr scharf sehen?
Wählen Sie eine oder mehrere Antworten:Die Pupille des Auges kann sich nicht ausreichend verengen. 
Die Linse des Auges kann nicht ausreichend verformt werden. 
Die Sakkaden des Auges werden zu groß. 
Die Hornhaut des Auges kann nicht ausreichend verformt werden. 
";  Die Linse des Auges kann nicht ausreichend verformt werden.
[KE03:078];"
Welche Konsequenzen ergeben sich aus der größeren Konvergenz bei Stäbchen als bei Zapfen?
Wählen Sie eine oder mehrere Antworten:Stäbchen ermöglichen eine bessere Detailwahrnehmung. 
Stäbchen haben einen höheren Ganglienverbrauch pro Zeiteinheit. 
Stäbchen dienen der Farbwahrnehmung. 
Zapfen haben einen höheren Ganglienverbrauch pro Zeiteinheit. 
Zapfen ermöglichen eine bessere Detailwahrnehmung. 
Zapfen besitzen eine höhere Lichtempfindlichkeit. 
Stäbchen besitzen eine höhere Lichtempfindlichkeit. 
";  Stäbchen besitzen eine höhere Lichtempfindlichkeit., Zapfen ermöglichen eine bessere Detailwahrnehmung.
[KE03:102];"
Das folgende Bild zeigt auf der linken Seite einen Bildschirm. Ein Teilbereich dessen, bestehend aus B und C, wird auf das rezeptive Feld eines Neurons abgebildet. Nun kann dieser Bildschirm an beliebiger Stelle leuchten. Zum Zeitpunkt S fange er damit an und zum Zeitpunkt T höre er damit auf.


Ordnen Sie nun folgenden Ereignissen eine Aktivitätscharakteristik (X-Z) zu:

    a)  Ein Leuchtpunkt erscheint im Bereich A des Bildschirms.
    b)  Ein Leuchtpunkt erscheint im Bereich B des Bildschirms.
    c)  Ein Leuchtpunkt erscheint im Bereich C des Bildschirms.
Wählen Sie eine oder mehrere Antworten:a)  X 
a)  Y 
a)  Z
  
b)  X 
b)  Y 
b)  Z
  
c)  X 
c)  Y 
c)  Z 
";"  a)  Z
 , b)  X, c)  Y"
[KE03:013c];"
Am synaptischen Spalt findet eine Signalübertragung zwischen Neuronen statt. Dies ist in folgender Abbildung schematisch dargestellt:


Wie bezeichnet man das Objekt, das in der Abbildung mit C gekennzeichnet ist?
Wählen Sie eine Antwort:postsynaptisches Neuron 
Neurotransmittermolekül 
Elektron des Aktionspotentials 
Axon des präsynaptischen Neurons 
Synaptisches Vesikel 
";  Synaptisches Vesikel
[KE03:021];"
Welcher Wert wurde früher in der Regel für das Schwellenpotential angegeben?
Wählen Sie eine Antwort:-40 mV 
-50 mV 
-60 mV 
-70 mV 
-80 mV 
";  -50 mV
[KE03:068];"
Die Verarbeitung unterschiedlicher Stimuli eines Objektes (z.B. Farbe, Form, Bewegung etc.) findet im Gehirn in verschiedenen Modulen statt. 
Wie wird die Problematik genannt, die Aktivität dieser verschiedenen Module zu verbinden und ein und demselben Objekt zuzuordnen?
Wählen Sie eine Antwort:Vereinigungsproblem 
Konvergenzproblem 
Fusionsproblem 
Bindungsproblem 
Kollektivproblem 
";  Bindungsproblem
[KE03:146];"
Bewerten Sie folgende Aussage: Ist diese wahr oder falsch?
""Die menschliche Wahrnehmung ist ein geschlossener, in sich rückgekoppelter Prozess in dem Sinne, dass Sie durch eine Handlung Ihre Umwelt verändern, dadurch andere Stimuli erzeugt, verarbeitet und wahrgenommen werden, was schließlich wiederum in einer bestimmten Handlung Ihrerseits resultiert.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist wahr.
[KE03:100];"
Bewerten Sie folgende Aussage: Ist diese Aussage wahr oder falsch?
""Unter neuronaler Plastizität versteht man ganz allgemein die Eigenschaft unseres Nervensystems und insbesondere unseres Gehirns, sich an neue Anforderungen der Umwelt anzupassen, und je nach Bedarf neue Verbindungen zwischen Neuronen und Neuronengruppen zu bilden oder bestehende Verbindungen wieder zu lösen oder die Qualität von Verbindungen, etwa ihre Stärke, zu verändern.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist wahr.
[KE03:065];"
Was ist ein üblicher Wert für die Anzahl der eingehenden synaptischen Verbindungen eines Neurons?
Wählen Sie eine Antwort:weniger als 100 Synapsen 
10.000 bis 20.000 Synapsen 
etwa 250.000 Synapsen 
1,0 bis 1,5 Millionen Synapsen 
";  10.000 bis 20.000 Synapsen
[KE03:117];"
Ein überproportional großer Anteil der Neurone in V1 ist der Verarbeitung von Signalen der Fovea gewidmet. Dies liegt neben der hohen Ganglienzellendichte der Fovea auch an der Tatsache, dass Signalen aus der Fovea - im Vergleich zu Signalen aus der Netzhautperipherie - zusätzlicher Raum im Kortex zugewiesen wird.
Um welchen Faktor ist die Anzahl der Verbindungen einer Ganglienzelle der Fovea zum Kortex größer als die Anzahl der Verbindungen einer Ganglienzelle der Netzhautperipherie?
Wählen Sie eine Antwort:3 bis 6 
30 bis 60 
300 bis 600 
3000 bis 6000 
";  3 bis 6
[KE03:094];"
Füllen Sie mithilfe der unten aufgeführten Lösungsvorschläge die Lücken in folgendem Text:

Das  Feld eines Neurons im visuellen System ist dasjenige Areal der , das eine Reaktion, sei sie exzitatorischer oder  Art, in dem Neuron auszulösen vermag.
 Wählen Sie eine oder mehrere Antworten: transkriptive  
 perzeptive  
 rezeptive
   
 Fovea  
 Patina  
 Retina  
 Cornea
   
 inhibitorischer  
 perzeptiver  
 prohibitorischer  
 repressiver  
";"   rezeptive
 ,  Retina,  inhibitorischer"
[KE03:071];"
Wie wird die elementare Einheit unseres Nervensystems bezeichnet?
Wählen Sie eine oder mehrere Antworten:Neuromat 
Neurotom 
Nervotron 
Neurino 
Nervolyt 
Neuron 
Nervenzelle 
Neuropotential 
";  Nervenzelle, Neuron
[KE03:029];"
Welcher Neuronentyp reagiert am stärksten auf bewegte Lichtbalken spezifischer Orientierung und Bewegungsrichtung, die eine spezifische Länge besitzen?
Wählen Sie eine Antwort:Ganglienzelle, Retina 
endinhibierte Zelle, Kortex 
Ganglienzelle, CGL 
einfache Zelle, Kortex 
komplexe Zelle, Kortex 
";  endinhibierte Zelle, Kortex
[KE03:089];"
Welcher Effekt ist in der folgenden Zeichnung illustriert?

Wählen Sie eine oder mehrere Antworten:Mach'sche Streifen durch laterale Inhibition 
Mach'sche Streifen durch temporale Inhibition 
Mach'sche Streifen durch spatiale Prohibition 
Mach'sche Streifen durch unimodale Reflektion 
Mach'sche Streifen durch Ernst'sche Stimulation 
Mach'sche Streifen durch laterale Prohibition 
";  Mach'sche Streifen durch laterale Inhibition
[KE03:018];"
Welche Methoden stehen im Vordergrund bei der Wahrnehmungsforschung?
Wählen Sie eine oder mehrere Antworten:psychophysische Methode 
neuronale Methode 
psychochemische Methode 
linguistische Methode 
limbische Methode 
physiologische Methode 
";  psychophysische Methode, physiologische Methode
[KE03:020];"
Bei der Wahrnehmung von Objekten sind große Teile des Gehirns aktiviert. Unabhängig von der Verschiedenheit der betrachteten Objekte sind die aktiven Bereiche im Gehirn hierbei größtenteils identisch.
Wie ist in diesem Kontext die Vorstellung spezialisierter Module im Gehirn einzuordnen?
Wählen Sie eine Antwort:Die ""Spezialisierung"" der Module ist äußerst fein, die Wahrnehmung jedoch nur vergleichsweise ""grob"". Dies führt dazu, dass sehr viele verschiedene Module aktiv werden. 
Die Module sind als Aktivitätsschwerpunkt zu verstehen. Die o.g. Wahrnehmung resultiert dann in einer großflächigen Gehirnaktivität. 
Die spezialisierten Module sind zu grob als dass sie die Wahrnehmung beeinflussen könnten. 
Die im Gehirn gemesse Aktivität hängt nicht mit den spezialisierten Modulen zusammen. Daher sind die o.g. Bereiche größtenteils identisch. 
";  Die Module sind als Aktivitätsschwerpunkt zu verstehen. Die o.g. Wahrnehmung resultiert dann in einer großflächigen Gehirnaktivität.
[KE03:055];"
Was verbirgt sich hinter der Abkürzung CGL?
Wählen Sie eine Antwort:Collculus Genius Lapidare 
Corpus Genius Laterale 
Collculus Geniculatum Lapidare 
Corpus Geniculatum Laterale 
";  Corpus Geniculatum Laterale
[KE03:009];"
Wie lautet eine andere Bezeichnung für V5, deren Abkürzung MT ist?
Wählen Sie eine Antwort:makularer terminaler Kortex 
modularer typischer Kortex 
mentaler transferierter Kortex 
medialer temporaler Kortex 
";  medialer temporaler Kortex
[KE03:080];"
Wofür steht die Abkürzung fMRT?
Wählen Sie eine Antwort:funktionale magnetoresistive Tomographie 
freie Magnetresonanztomographie 
finale Mehrkernrefrakturtomographie 
funktionelle Magnetresonanztomographie 
ferromagnetische Raumtopographie 
";  funktionelle Magnetresonanztomographie
[KE03:132];"
Was ist die Großmutterzelle?
Wählen Sie eine Antwort:Die Stammzelle aller Neuronen. 
Ein Neuron das Kuchen und warme Milch mit Honig wahrnimmt. 
Das zentrale Neuron eines rezeptiven Feldes. 
Ein hypothetisches Neuron, das die Wahrnehmung der eigenen Großmutter repräsentiert. 
Ein Neuron mit verminderter Reproduktionsfähigkeit. 
";  Ein hypothetisches Neuron, das die Wahrnehmung der eigenen Großmutter repräsentiert.
[KE03:143];"
Im Gehirn sind die einzelnen Neuronen durch Nervenfasern miteinander verbunden, entlang derer Informationen durch elektrische Impulse weitergeleitet werden. Wie bezeichnet man diese Impulse?
Wählen Sie eine oder mehrere Antworten:Refraktärmomente 
Aktionspotentiale 
Synapsenpotentiale 
Repolarisationen 
Membranpotentiale 
Deolarisationen 
";  Aktionspotentiale
[KE03:073];"
Welche Aussage trifft auf Dendriten zu?
Wählen Sie eine oder mehrere Antworten:Dendriten sind Verzweigungen aus dem Zellkörper einer Nervenzelle heraus. 
Dendriten stellen eine Verbindung zu anderen Nervenzellen her, um Information an diese abzugeben. 
Dendriten nehmen (indirekt) die elektrischen Signale anderer Nervenzellen auf. 
Dendriten sind ein Zellgeflecht und dienen als Stützstruktur für Nervenzellen. 
Dendriten können mittels der Dendrochronologie in ihrem Zeitverhalten vermessen werden. 
";  Dendriten sind Verzweigungen aus dem Zellkörper einer Nervenzelle heraus., Dendriten nehmen (indirekt) die elektrischen Signale anderer Nervenzellen auf.
[KE03:013b];"
Am synaptischen Spalt findet eine Signalübertragung zwischen Neuronen statt. Dies ist in folgender Abbildung schematisch dargestellt:


Wie bezeichnet man das Objekt, das in der Abbildung mit B gekennzeichnet ist?
Wählen Sie eine Antwort:Synaptisches Vesikel 
Axon des präsynaptischen Neurons 
Neurotransmittermolekül 
postsynaptisches Neuron 
Elektron des Aktionspotentials 
";  postsynaptisches Neuron
[KE03:037];"
Das Auge ändert sich im Laufe eines Lebens und dies sollte bei der Gestaltung von Nutzungsschnittstellen berücksichtigt werden.
Welche der folgenden Eigenschaften des Auges sind dabei zu beachten?
Wählen Sie eine oder mehrere Antworten:Der sogenannte Nahpunkt ändert sich mit dem Alter. 
Das Auge älterer Menschen kann nahe Objekte schlechter fokussieren. 
Das Verhältnis der Krümmungsradien von Hornhaut und Fovea ändert sich mit dem Alter. 
Der sogenannte blinde Fleck vergrößert sich mit dem Alter. 
Der Nahpunkt fällt erst während der Pubertät mit der Linse zusammen. 
";  Der sogenannte Nahpunkt ändert sich mit dem Alter., Das Auge älterer Menschen kann nahe Objekte schlechter fokussieren.
[KE03:145];"
Bewerten Sie folgende Aussage: Ist diese wahr oder falsch?
""Die menschliche Wahrnehmung ist ein komplexer, mehrstufiger Prozess, wobei die verschiedenen Stufen aufeinander aufbauen, von äußeren sowie internen Verabeitungsprozessen abhängen, von kognitiven Leistungen (Erfahrungen/ Wissen) abhängen und sich schließlich noch durch bestimmte Beziehungen untereinander beeinflussen.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist wahr.
[KE03:036];"
Was ist Akkomodation?
Wählen Sie eine oder mehrere Antworten:Das Scharfstellen einer Abbildung auf der Retina 
Eine stakkatohafte Modation 
Eine Anpassung der Linsenform 
Das Anpassen der Hornhaut an die Lichtverhältnisse 
Das Verringern des Durchmessers der Iris 
";  Eine Anpassung der Linsenform, Das Scharfstellen einer Abbildung auf der Retina
[KE03:005];"
Folgendes Experiment werde durchgeführt: Ein Proband wird gebeten zu berichten, welcher Reiz ihm präsentiert wird, während gleichzeitig seine Gehirnaktivität gemessen wird.
Welche Fragestellung kann mit diesem Experiment untersucht werden?
Wählen Sie eine Antwort:Der Zusammenhang zwischen einem präsentierten Stimulus und den dadurch ausgelösesten, neuronalen Abläufen 
Der Zusammenhang zwischen der Ionogenese in den Rezeptoren und den verfügbaren Stimuli 
Der Zusammenhang zwischen beachteten Stimuli unterschiedlicher Modalitäten 
Der Zusammenhang zwischen einem präsentierten Stimulus und der empfundenen Wahrnehmung 
Der Zusammenhang zwischen neuronalen Prozessen und der dadurch ausgelösten, empfundenen Wahrnehmung 
";  Der Zusammenhang zwischen neuronalen Prozessen und der dadurch ausgelösten, empfundenen Wahrnehmung
[KE03:124];"
In der Organisationsstruktur des visuellen Kortex kann man sogenannte okulare Dominanzsäulen ausmachen. Was versteht man darunter?
Wählen Sie eine oder mehrere Antworten:Okulare Dominanzsäulen sind die übergeordnete Organisationseinheit des visuellen Kortex. 
In einer okularen Dominanzsäule dominieren die Signale entweder des linken oder des rechten Auges. 
Die okularen Dominanzsäulen sorgen für die unwillkürlichen, geringfügigen Augenbewegungen (Sakkaden). 
Die okularen Dominanzsäulen sind für den Effekt verantwortlich, dass das Auge plötzliche Reize am bewussten Entscheidungsprozess vorbei wahrnimmt. 
";  In einer okularen Dominanzsäule dominieren die Signale entweder des linken oder des rechten Auges.
[KE03:056];"
In welcher Entfernung befindet sich der Nahpunkt mit einem Alter von 30 Jahren?
Wählen Sie eine Antwort:in etwa 8cm 
in etwa 14cm 
in etwa 20cm 
in etwa 26cm 
";  in etwa 14cm
[KE03:103];"
Was wird als Axonhügel bezeichnet?
Wählen Sie eine Antwort:Der Axonhügel ist eine spezielle Region im Gehirn an der sich die Nervenfasern bündeln, die weiter ins Rückenmark führen. 
Der Axonhügel ist der Endpunkt eines Axons, der sich mit dem Dendrit eines anderen Neurons verbindet. 
Der Axonhügel ist eine Verdickung an der Stelle, an der das Axon aus dem Soma tritt. 
Der Axonhügel ist das Gegenstück zum Axoffhügel am anderen Ende einer Nervenfaser. Hierdurch wird eine bidirektionale Kommunikation möglich. 
Der Axonhügel ist eine physische Sperre, die ein Auslaufen der Zellflüssigkeit aus dem Kern des Neurons verhindert. 
";  Der Axonhügel ist eine Verdickung an der Stelle, an der das Axon aus dem Soma tritt.
[KE03:013a];"
Am synaptischen Spalt findet eine Signalübertragung zwischen Neuronen statt. Dies ist in folgender Abbildung schematisch dargestellt:


Wie bezeichnet man das Objekt, das in der Abbildung mit A gekennzeichnet ist?
Wählen Sie eine Antwort:Elektron des Aktionspotentials 
postsynaptisches Neuron 
Axon des präsynaptischen Neurons 
Synaptisches Vesikel 
Neurotransmittermolekül 
";  Neurotransmittermolekül
[KE03:119];"
Wo befinden sich -- in absoluten Zahlen -- mehr Zapfen?
Hinweis: Es geht hier rein um die Zapfen und nicht um einen Vergleich zu den Stäbchen.
Wählen Sie eine Antwort:Fovea 
Peripherie 
";  Peripherie
[KE03:025];"
Welche Ionen beeinflussen im Wesentlichen das Membranpotential einer Nervenzelle?
Wählen Sie eine oder mehrere Antworten:Magnesiumionen 
Natriumionen 
Kaliumionen 
Ammoniumionen 
Fluorionen 
";  Natriumionen, Kaliumionen
[KE03:142];"
Füllen Sie mithilfe der unten aufgeführten Lösungsvorschläge die Lücken in folgendem Text:

Das Hebb'sche  besagt folgendes:Wenn ein Axon von Neuron 1 nahe genug an einem Neuron 2 liegt, sodass Zelle 2  von Neuron 1 erregt wird, so wird die Effizienz von Neuron 1 für die Erregung von Neuron 2 durch einen Wachstumsprozess oder eine Stoffwechseländerung  erhöht.
 Wählen Sie eine oder mehrere Antworten: Gehirnmodell  
 Lernprinzip  
 Neuronenmodell  
 Konditionierungsprinzip
   
 selten, aber intensiv  
 niemals  
 erstmalig  
 wiederholt oder anhaltend
   
 in Neuron 1  
 in Neuron 2  
 in Neuron 1 und/oder 2  
";"   Lernprinzip,  wiederholt oder anhaltend
 ,  in Neuron 1 und/oder 2"
[KE03:053];"
Wieviel Prozent der Brechkraft entfallen auf die Hornhaut?
Wählen Sie eine Antwort:40% 
50% 
60% 
70% 
80% 
";  80%
[KE03:140];"
Welches Prinzip liegt der Forschungsinitiative des Organic Computing zugrunde?
Wählen Sie eine Antwort:Das Prinzip der Reorganisation 
Das Prinzip der Neuorganisation 
Das Prinzip der Selbstorganisation 
Das Prinzip der Suborganisation 
Das Prinzip der Überorganisation 
";  Das Prinzip der Selbstorganisation
[KE03:074];"
Bewerten Sie folgende Aussage: Ist diese Aussage wahr oder falsch?
""In einem 1981 durchgeführten und mit dem Nobelpreis für Medizin prämierten Experiment konnten Forscher beweisen, dass es im primären visuellen Kortex keinen Zellentypus gibt, der ein komplexeres rezeptives Feld besitzt als die Zentrum-Umfeld-Strukturen.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist falsch.
[KE03:015];"
Wie wird die Kodierung komplexer Formen in unserer Umwelt durch die Aktivität einer Gruppe von Neuronen bezeichnet?
Wählen Sie eine oder mehrere Antworten:Proporzkodierung 
Ensemblekodierung 
Multikodierung 
koordinierte Repräsentation 
Populationskodierung 
konvergente Repräsentation 
Flächenkodierung 
verteilte Repräsentation 
";  Ensemblekodierung, verteilte Repräsentation, Populationskodierung
[KE03:106];"
Welches Teilgebiet der Informatik widmet sich der Übertragung von Verarbeitungsprinzipien des Gehirns auf die Informationsverarbeitung in technischen Systemen?
Wählen Sie eine Antwort:Angewandte Informatik 
Technische Informatik 
Theoretische Informatik 
Neuroinformatik 
Wirtschaftsinformatik 
";  Neuroinformatik
[KE03:023];"
Welche Neurotransmitter lassen sich unterscheiden?
Wählen Sie eine oder mehrere Antworten:perzitatorische Transmitter 
exhibitorische Transmitter 
inzitatorische Transmitter 
perhibitorische Transmitter 
exzitatorische Transmitter 
inhibitorische Transmitter 
";  exzitatorische Transmitter, inhibitorische Transmitter
[KE03:042];"
Bewerten Sie folgende Aussage: Ist diese Aussage wahr oder falsch?
""Eine Theorie zur Lösung des Bindungsproblems von Christoph von der Malsburg basiert auf der asynchronen Oszillation der beteiligten Neuronenverbünde.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist falsch.
[KE03:072];"
Welche Region einer Nervenzelle enthält die genetische Information?
Wählen Sie eine oder mehrere Antworten:Dendriten 
Synapsen 
Zellkörper 
Axon 
";  Zellkörper
[KE03:059];"
Was ist beim Menschen lediglich für das monochromatische Sehen zuständig?
Wählen Sie eine Antwort:Stangen 
Tännchen 
Zapfen 
Stäbchen 
";  Stäbchen
[KE03:083];"
Was ist laterale Inhibition?
Wählen Sie eine oder mehrere Antworten:Die Rückbildung kortikaler Synapsen 
Die Reduktion der Signalstärke benachbarter Neuronen 
Die Rückbildung kortikaler Milchdrüsen 
Die Reduktion der Nährstoffaufnahme benachbarter Neuronen 
Eine Schläfenfraktur 
";  Die Reduktion der Signalstärke benachbarter Neuronen
[KE03:041];"
In welche Beziehung stehen Cornea und Fovea?
Wählen Sie eine oder mehrere Antworten:Während die Fovea der Bereich des schärfsten Sehens ist, bezeichnet die Cornea den Bereich des peripheren Sehens. 
Die Cornea fokussiert (zusammen mit der Linse) das Licht auf die Fovea. 
Die Fovea kompensiert den blinden Fleck der Linse. 
Die Fovea reflektiert das Licht über die Cornea nach außen. Dieses Licht wirft den sogenannten Lidschatten. 
Die Cornea filtert Licht bestimmter Wellenlänge und ermöglich so das Farbsehen. 
";  Die Cornea fokussiert (zusammen mit der Linse) das Licht auf die Fovea.
[KE03:121];"
Zu den erwünschten Eigenschaften von IT-Systemen, die die Prinzipien des Organic Computing umsetzen, zählen u.a. die sogenannten ""Selbst-x-Eigenschaften"". Was sind Beispiele für derartige Eigenschaften?
Wählen Sie eine oder mehrere Antworten:selbst-lernend 
selbst-ständig 
selbst-optimierend 
selbst-erklärend 
selbst-konfigurierend 
selbst-los 
selbst-entsorgend 
selbst-versorgend 
";  selbst-konfigurierend, selbst-optimierend, selbst-lernend, selbst-erklärend
[KE03:114];"
Bewerten Sie folgende Aussage: Ist diese Aussage wahr oder falsch?
""Die Leistung der Akkomodation ist theoretisch unbegrenzt.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist falsch.
[KE03:039];"
Welche der folgenden Aussagen bzgl. der Stäbchen und Zapfen sind korrekt?
Wählen Sie eine oder mehrere Antworten:Es gibt drei Arten von Zapfen 
Pigmente in den Zapfen sorgen für die Farbwahrnehmung 
Es gibt drei Arten von Stäbchen 
Pigmente in den Stäbchen sorgen für die Farbwahrnehmung 
Zapfen sind weniger lichtempfindlich als Stäbchen 
Stäbchen sind weniger lichtempfindlich als Zapfen 
";  Zapfen sind weniger lichtempfindlich als Stäbchen, Es gibt drei Arten von Zapfen, Pigmente in den Zapfen sorgen für die Farbwahrnehmung
[KE03:026];"
Was ändert sich in einem Neuron mit der Stärke der Stimulation?
Wählen Sie eine Antwort:Die Dauer des Aktionspotentials 
Die Frequenz der Feuerungsrate 
Die Spannung des Aktionspotentials 
Die Stärke des Aktionspotentials 
Die Länge des Aktionspotentials 
";  Die Frequenz der Feuerungsrate
[KE03:048];"
Bewerten Sie folgende Aussage: Ist diese Aussage wahr oder falsch?
""Die menschlichen Sinne erzeugen eine objektive Wahrnehmung der Umwelt.""
Wählen Sie eine Antwort:Diese Aussage ist wahr. 
Diese Aussage ist falsch. 
";  Diese Aussage ist falsch.
[KE03:013d];"
Am synaptischen Spalt findet eine Signalübertragung zwischen Neuronen statt. Dies ist in folgender Abbildung schematisch dargestellt:


Wie bezeichnet man das Objekt, das in der Abbildung mit D gekennzeichnet ist?
Wählen Sie eine Antwort:Neurotransmittermolekül 
Synaptisches Vesikel 
Elektron des Aktionspotentials 
postsynaptisches Neuron 
Axon des präsynaptischen Neurons 
";  Axon des präsynaptischen Neurons
[KE03:017];"
Welche der folgenden Ereignisse bewirkt Synapsenvergrößerung?
Wählen Sie eine oder mehrere Antworten:Schmerzen 
mit Emotionen gekoppelte Reize 
mit angeborenen Auslösern gekoppelte Reize 
Nachrichten im Allgemeinen 
Tierbilder an sich 
";  Schmerzen, mit Emotionen gekoppelte Reize, mit angeborenen Auslösern gekoppelte Reize
[KE03:128];"
Füllen Sie mithilfe der unten aufgeführten Lösungsvorschläge die Lücken in folgendem Text:

Die  der Retina wird in Form einer  Karte auf den visuellen Kortex abgebildet, sodass benachbarte Punkte auf der Kortexoberfläche mit  Punkten auf der Retina korrespondieren.
 Wählen Sie eine oder mehrere Antworten: Seitenfläche  
 Oberfläche  
 Ventralfläche  
 Dorsalfläche
   
 kortikopten  
 phänotypischen  
 genotypischen  
 retinotopen
   
 benachbarten  
 gegenüberliegenden  
 verschränkten  
 antagonistischen  
";"   Oberfläche,  retinotopen
 ,  benachbarten"
